"listing_id","title","brand","condition","year","price_million_vnd","location","origin","color","fuel","engine_litre","transmission","seats","mileage_km","source_url"
"6976005","Lexus LM 300h Royal Lounge - 2020","Lexus","cũ","2020","4500","Cần Thơ","nhập khẩu","đen","hybrid","2.5","tự động","4","35000","https://bonbanh.com/oto/generic"
"6976002","VinFast VF2 Eco - 2026","Audi","mới","2026","169","Hà Nội","lắp ráp trong nước","xanh","điện",,"tự động","4",,"https://bonbanh.com/oto/audi"
"6975999","Honda Civic 1.8 AT - 2008","Nissan","cũ","2008","165","Đồng Nai","lắp ráp trong nước","xám","xăng","1.8","tự động","5","999999","https://bonbanh.com/oto/nissan"
"6975994","Honda CRV e:HEV RS - 2026","Volkswagen","cũ","2026","1210","Hà Nội","lắp ráp trong nước","đỏ","hybrid","2","tự động","5","11000","https://bonbanh.com/oto/volkswagen"
"6975985","Kia Cerato 2.0 AT - 2018","Kia","cũ","2018","365","Hà Nội","lắp ráp trong nước","cát","xăng","2","tự động","5","89000","https://bonbanh.com/oto/generic"
"6975982","Nissan X trail 2.0 2WD Premium - 2017","Nissan","cũ","2017","415","Hà Nội","lắp ráp trong nước","trắng","xăng","2","tự động","7","80000","https://bonbanh.com/oto/generic"
"6975977","Volkswagen Teramont X Platinum 2.0 AT - 2024","Volkswagen","cũ","2024","1560","Hà Nội","nhập khẩu","xám","xăng","2","tự động","5","13000","https://bonbanh.com/oto/volkswagen"
"6975958","Ford Territory Titanium X 1.5 AT - 2025","Ford","cũ","2025","755","Hà Nội","lắp ráp trong nước","trắng","xăng","1.5","tự động","5","24000","https://bonbanh.com/oto/generic"
"6975955","BMW X3 sDrive20i M Sport - 2024","BMW","cũ","2024","1699","Hà Nội","lắp ráp trong nước","xanh","xăng","2","tự động","5","7500","https://bonbanh.com/oto/generic"
"6975952","Omoda C5 Premium 1.5 Turbo - 2025","Omoda","cũ","2025","475","Hà Nội","nhập khẩu","trắng","xăng","1.5","tự động","5","25000","https://bonbanh.com/oto/generic"
"6975949","Honda CRV L - 2019","Honda","cũ","2019","690","Hà Nội","nhập khẩu","đen","xăng","1.5","tự động","7","70000","https://bonbanh.com/oto/honda"
"6975944","Hyundai SantaFe Cao cấp 2.2L HTRAC - 2022","Hyundai","cũ","2022","1035","Hà Nội","lắp ráp trong nước","đen","dầu","2.2","tự động","7","10000","https://bonbanh.com/oto/hyundai"
"6975939","Hyundai Accent Đặc biệt 1.5 AT - 2024","Hyundai","cũ","2024","430","Thừa Thiên Huế","lắp ráp trong nước","đen","xăng","1.5","tự động","5","15000","https://bonbanh.com/oto/generic"
"6975938","Honda CRV 2.4 AT - TG - 2016","Honda","cũ","2016","435","Hà Nội","lắp ráp trong nước","đen","xăng","2.4","tự động","5","110000","https://bonbanh.com/oto/generic"
"6975935","Toyota Corolla Cross 1.8V - 2022","Toyota","cũ","2022","665","Hà Nội","nhập khẩu","trắng","xăng","1.8","tự động","5","50000","https://bonbanh.com/oto/generic"
"6975930","Mazda 3 1.5 AT - 2015","Mazda","cũ","2015","305","Hà Nội","lắp ráp trong nước","đỏ","xăng","1.5","tự động","5","111000","https://bonbanh.com/oto/generic"
"6975923","Lexus GS 350 - 2007","Lexus","cũ","2007","386","TP HCM","nhập khẩu","bạc","xăng","3.5","tự động","5","150000","https://bonbanh.com/oto/generic"
"6975910","Porsche Macan 2.0 - 2022","Porsche","cũ","2022","2899","Hà Nội","nhập khẩu","trắng","xăng","2","tự động","5","40000","https://bonbanh.com/oto/generic"
"6975907","Hyundai Starex - 2010","Hyundai","cũ","2010","275","An Giang","nhập khẩu","ghi","dầu",,"tay","9","300000","https://bonbanh.com/oto/generic"
"6975904","LandRover Range Rover Evoque HSE Dynamic - 2016","LandRover","cũ","2016","688","TP HCM","nhập khẩu","trắng","xăng","2","tự động","5","75000","https://bonbanh.com/oto/generic"
"6975893","Hyundai Tucson 2.0 AT Đặc biệt - 2022","Hyundai","cũ","2022","685","Hà Nội","lắp ráp trong nước","trắng","xăng","2","tự động","5","80000","https://bonbanh.com/oto/generic"
"6975884","Ford Ranger XLS 2.2L 4x2 AT - 2022","Ford","cũ","2022","530","Hà Nội","lắp ráp trong nước","trắng","dầu","2.2","tự động","5","60000","https://bonbanh.com/oto/generic"
"6975869","Hyundai Accent 1.4 AT Đặc Biệt - 2022","Hyundai","cũ","2022","398","Lâm Đồng","lắp ráp trong nước","trắng","xăng","1.4","tự động","5","58000","https://bonbanh.com/oto/generic"
"6975864","Mitsubishi Grandis 2.4 AT - 2005","Mitsubishi","cũ","2005","169","TP HCM","lắp ráp trong nước","đen","xăng","2.4","tự động","7","150000","https://bonbanh.com/oto/generic"
"6975861","Lexus LX 570 Super Sport - 2018","Lexus","cũ","2018","5788","Hà Nội","nhập khẩu","đen","xăng","5.7","tự động","7","73999","https://bonbanh.com/oto/generic"
"6975848","Ford Everest Sport Special Edition 2.0L 4x2 AT - 2025","Ford","cũ","2025","1120","TP HCM","nhập khẩu","đỏ","dầu","2","tự động","7","34000","https://bonbanh.com/oto/generic"
"6975843","Nissan Navara SL 2.5MT 4WD - 2015","Nissan","cũ","2015","299","Hà Nội","nhập khẩu","nâu","dầu","2.5","tay","5","123000","https://bonbanh.com/oto/generic"
"6975834","Ford Ranger Wildtrak 2.0L 4x4 AT - 2022","Ford","cũ","2022","745","TP HCM","lắp ráp trong nước","xám","dầu","2","tự động","5","72000","https://bonbanh.com/oto/generic"
"6975824","Ford Everest Titanium 2.0L 4x2 AT - 2022","Ford","cũ","2022","1070","TP HCM","nhập khẩu","đỏ","dầu","2","tự động","7","27000","https://bonbanh.com/oto/generic"
"6975817","Ford Everest Titanium 2.0L 4x2 AT - 2022","Ford","cũ","2022","890","TP HCM","nhập khẩu","trắng","dầu","2","tự động","7","34000","https://bonbanh.com/oto/generic"
"6975814","Toyota Raize G 1.0 CVT - 2025","Toyota","cũ","2025","495","Hà Nội","nhập khẩu","trắng","xăng","1","tự động","5","8000","https://bonbanh.com/oto/generic"
"6975807","Mazda 3 1.5 AT - 2016","Mazda","cũ","2016","298","Hà Nội","lắp ráp trong nước","nâu","xăng","1.5","tự động","5",,"https://bonbanh.com/oto/generic"
"6975804","Mazda 3 1.5 AT - 2016","Mazda","cũ","2016","298","Hà Nội","lắp ráp trong nước","nâu","xăng","1.5","tự động","5",,"https://bonbanh.com/oto/generic"
"6975801","Hyundai SantaFe Premium 2.4L HTRAC - 2019","Hyundai","cũ","2019","688","Hà Nội","lắp ráp trong nước","đen","xăng","2.4","tự động","7","140000","https://bonbanh.com/oto/generic"
"6975798","Honda CRV e:HEV RS - 2026","Honda","cũ","2026","1215","Hà Nội","lắp ráp trong nước","đỏ","hybrid","2","tự động","5","10000","https://bonbanh.com/oto/generic"
"6975797","Mercedes Benz GLS 480 4Matic Maybach - 2023","Mercedes","cũ","2023","5550","TP HCM","nhập khẩu","trắng","xăng","3","tự động","4","55000","https://bonbanh.com/oto/generic"
"6975796","Hyundai SantaFe Tiêu chuẩn 2.5L - 2022","Hyundai","cũ","2022","850","Lâm Đồng","lắp ráp trong nước","trắng","xăng","2.5","tự động","7","56000","https://bonbanh.com/oto/generic"
"6975789","Ford Everest Wildtrak 2.0L 4x4 AT - 2023","Ford","cũ","2023","1175","TP HCM","nhập khẩu","đỏ","dầu","2","tự động","7","70000","https://bonbanh.com/oto/generic"
"6975782","Ford Ranger Sport 2.0L 4x4 AT - 2024","Ford","cũ","2024","685","Hà Nội","lắp ráp trong nước","trắng","dầu","2","tự động","5","41000","https://bonbanh.com/oto/generic"
"6975781","Ford Ranger XLS 2.0L 4x2 AT - 2022","Ford","cũ","2022","528","Hà Nội","lắp ráp trong nước","trắng","dầu","2","tự động","5","60000","https://bonbanh.com/oto/generic"
"6975776","Mitsubishi Outlander 2.0 CVT - 2020","Mitsubishi","cũ","2020","415","Hà Nội","lắp ráp trong nước","nâu","xăng","2","tự động","7","100000","https://bonbanh.com/oto/generic"
"6975775","Mercedes Benz C class C200 Avantgarde Plus - 2021","Mercedes","cũ","2021","1139","Hà Nội","lắp ráp trong nước","đen","xăng","1.5","tự động","5","14000","https://bonbanh.com/oto/generic"
"6975772","Honda Brio RS - 2021","Honda","cũ","2021","315","TP HCM","nhập khẩu",,"xăng","1.2","tự động","5","78000","https://bonbanh.com/oto/generic"
"6975771","Honda City 1.5TOP - 2017","Honda","cũ","2017","304","TP HCM","lắp ráp trong nước","đỏ","xăng","1.5","tự động","5","173000","https://bonbanh.com/oto/generic"
"6975766","Toyota Vios G 1.5 CVT - 2022","Toyota","cũ","2022","341","Hà Nội","lắp ráp trong nước","trắng","xăng","1.5","tự động","5","56000","https://bonbanh.com/oto/generic"
"6975762","Toyota Camry 2.4G - 2011","Toyota","cũ","2011","306","Hà Nội","lắp ráp trong nước","đen","xăng","2.4","tự động","5","120000","https://bonbanh.com/oto/generic"
"6975759","Kia Carens - 2015","Kia","cũ","2015","21000","TP HCM","lắp ráp trong nước","cát","xăng",,"tay","7","120","https://bonbanh.com/oto/generic"
"6975758","Mazda CX5 2.0 Deluxe - 2020","Mazda","cũ","2020","530","Nam Định","lắp ráp trong nước","đỏ","xăng","2","tự động","5","10110","https://bonbanh.com/oto/generic"
"6975747","Ford Everest Titanium 2.0L 4x2 AT - 2022","Ford","cũ","2022","890","TP HCM","nhập khẩu","trắng","dầu","2","tự động","7","34000","https://bonbanh.com/oto/generic"
"6975742","VinFast VF8 Plus AWD - 2025","VinFast","cũ","2025","850","TP HCM","lắp ráp trong nước","xám","điện",,"tự động","5","20000","https://bonbanh.com/oto/generic"
